C_l/delta,δ=-5.0°,δ=-4.0°,δ=-3.0°,δ=-2.0°,δ=-1.0°,δ=0.0°,δ=1.0°,δ=2.0°,δ=3.0°,δ=4.0°,δ=5.0°,δ=6.0°,δ=7.0°,δ=8.0°,δ=9.0°,δ=10.0°,δ=11.0°,δ=12.0°,δ=13.0°,δ=14.0°,δ=15.0°,δ=16.0°,δ=17.0°,δ=18.0°,δ=19.0°,δ=20.0°
α=-5.0°,-0.831141034893005,-0.7861940542862201,-0.7400249425987092,-0.6928215339157042,-0.6447618113646539,-0.5959784415954488,-0.5463213320391335,-0.4963176346514101,-0.4461513865418064,-0.39591557755203716,-0.34572592415177944,-0.2956990430570869,-0.24595404798317547,-0.19663219740312332,-0.14788391342898474,-0.09988016044426667,-0.052838621115999074,-0.007023768890452687,0.03722272043599968,0.07942772930684533,0.11893149987666435,0.15475111079034848,0.18507288286209064,0.20465985676657247,0.2262853555580798,0.24956001263960614
α=-4.0°,-0.7259328965934662,-0.6798969733479573,-0.6327582438491323,-0.5847015131899567,-0.5358777521880288,-0.4864092796486861,-0.43622822444155673,-0.3857601238374032,-0.33517433060070684,-0.28458077844045565,-0.23407498594402407,-0.18377770220623119,-0.13381019667829316,-0.08429352078047615,-0.0353825999652901,0.012753043858865283,0.05991849242425324,0.10585826957909153,0.15024457387938825,0.19265231234351102,0.2324822884217127,0.2688672693424786,0.30041783602859173,0.32167269338742904,0.3440362922098664,0.36794471034223813
α=-3.0°,-0.6186232948435029,-0.5717244660849932,-0.5238070209859065,-0.4750482649233746,-0.4255983771328299,-0.37557877760870284,-0.32500281412864973,-0.2741940825956623,-0.22331888224049104,-0.1724722509316171,-0.12176827201851051,-0.0713074731863714,-0.021208724366256964,0.028396809512319248,0.07737753652048796,0.1255616870504836,0.17275477925908825,0.2187266597175104,0.26317348218383096,0.30569183747856127,0.3457492585173937,0.38258329789948203,0.4150211986700544,0.4378712525787551,0.46086165228107495,0.48523739637393337
α=-2.0°,-0.5096778772475585,-0.4620673238930496,-0.4135317768964542,-0.3642283906228455,-0.3142885493584051,-0.2638354081398456,-0.21297903580322225,-0.16192924375254955,-0.11086523953469034,-0.05987376769280858,-0.009063106997492822,0.04145629702894328,0.09158633259189478,0.14119579929140252,0.19014350460371898,0.23828176213986543,0.2854214510338546,0.3313300219133966,0.37573369390602623,0.4182633830703129,0.45843035627069845,0.49555898258759673,0.5286520703686773,0.5528783007440601,0.5764393841794714,0.601113079240906
α=-1.0°,-0.3994758119268088,-0.3513046779976832,-0.3022680972061562,-0.2525286989775604,-0.20222311816556718,-0.15146140271605896,-0.10042857696489872,-0.04925164025891965,0.0019099407870841428,0.052942517515376854,0.10375928610376439,0.15425482412705827,0.2043139172911412,0.2538315731992124,0.3026665426839115,0.3506581984258078,0.39764121916046147,0.44339900429711354,0.4876571150640487,0.5300822959004663,0.5702317359702171,0.60749480307832,0.640992658461835,0.666173073962447,0.6902967140489322,0.7153594471359521
α=0.0°,-0.2883078701773777,-0.23971037234501408,-0.19030746992171985,-0.14024972629798538,-0.08968164350202695,-0.03871012123204601,0.012400288090911232,0.06360651609717967,0.11475312716766624,0.16573746464994468,0.21645710572703297,0.26682718804256705,0.3167343173889933,0.36605395573335364,0.41467171095207084,0.46243543811546084,0.5091586691234485,0.5546425984648619,0.5986482612738522,0.6408522468787032,0.6808356434443795,0.7180529753719632,0.7517233672014075,0.7774072346091179,0.8021006251507006,0.8275258117691446
α=1.0°,-0.17647633103287105,-0.12755976505392752,-0.07790206644427815,-0.027645631840954872,0.02308144679120531,0.07416336818856893,0.1252449616072406,0.17639264198086899,0.2274243497696089,0.2782549087017714,0.32879474587227625,0.3789293083278313,0.42857437146381483,0.47761533620760593,0.5259057242071944,0.5733152405652908,0.6196752668580047,0.6647861956051192,0.7083990804174036,0.7502273429292092,0.7898840636437414,0.826851017726249,0.8603697261240502,0.8860447890020475,0.9114275199149957,0.9371978476524706
α=2.0°,-0.06423989036407353,-0.015124629971093588,0.03468951323884847,0.08505098067340126,0.13582652598744646,0.1869076554063619,0.23786386421707928,0.2888367050494773,0.3396669109611096,0.3902368207791023,0.4404786818456649,0.4902972185013706,0.5395691024724725,0.5881978025847366,0.6360678736447052,0.6830168630053897,0.7288702868947958,0.7734555113143168,0.8165458994552082,0.8578456741289615,0.8969737721403329,0.9334515193966746,0.9660738704230752,0.9916301759022509,1.017785642486163,1.0438518990547165
α=3.0°,0.04815151905443601,0.09735106569422665,0.1472043092015318,0.1975575388334971,0.24827778971353434,0.29925170853576655,0.34998069990366104,0.40068303338593825,0.4511774285083277,0.5013982663188536,0.5512354165407061,0.6005946335901489,0.6493958248210904,0.6975139092233529,0.7448063353332215,0.7911432289087496,0.836373121088191,0.8802947957258536,0.922665080761077,0.9632177314084889,1.0015904807914915,1.0372993335767766,1.0678138326010693,1.0937865087959018,1.1205326412436631,1.1470190717338005
α=4.0°,0.16041689592543468,0.20958990033702501,0.25935651347755967,0.30958979773961276,0.3601589552683395,0.4109248321454675,0.46129975737263273,0.5116084620104109,0.561675158313964,0.6113945872050324,0.6607111736851976,0.7095176293598794,0.7576856599671533,0.8051323215623847,0.8517274722747024,0.8973153159804893,0.9417152150699176,0.9847548778236698,1.0262155955663388,1.065794346498625,1.1031085121700055,1.1375979169167256,1.1653068398217903,1.1921516033262558,1.2191539902676716,1.246033267452116
α=5.0°,0.2722400788652274,0.3212763819495724,0.3708559879615264,0.42085097475714944,0.4711285502672229,0.5215595924849737,0.5714837737546228,0.6212636614350671,0.6707511395455324,0.7198740344475335,0.7685126208826916,0.8165815255930339,0.8640014414676233,0.9106299812222745,0.9563123329542547,1.0009280225002015,1.044319872029471,1.0862688456966427,1.1265086801109199,1.1647424490265978,1.2005710629827708,1.2310980583166264,1.2583655865270171,1.2860450462270356,1.313367276977097,1.340009847200683
α=6.0°,0.3833011354508353,0.43206189318674554,0.48130914753687826,0.5309264986302848,0.5807994456148415,0.6307747335386487,0.6800683440761303,0.7291990761084852,0.7779752311954706,0.8262936810479807,0.8741148919451706,0.9213185491357699,0.9677506441107094,1.013317942180567,1.0579109973553464,1.101345091042723,1.143398050419344,1.1838731359678565,1.2225085179490536,1.2589501852140237,1.2907706937296857,1.3186999612421886,1.3469292723988493,1.3747198142439867,1.4019888514117624,1.4288475637166727
α=7.0°,0.4931373673803018,0.5414708815408736,0.5902557173643428,0.6393695520677151,0.6886758333697579,0.7380188186168888,0.786557844236138,0.834834899490035,0.8826944156608969,0.9300738689958101,0.9768435646858991,1.0228991370102347,1.0681465698370913,1.1124444382537104,1.1555941897230069,1.1974346826381668,1.2377721385350051,1.2763372943890763,1.3127754618386291,1.3440023585834964,1.3725907738176915,1.4013412897339432,1.429772114789006,1.4574216729850882,1.4848515403502685,1.5110605018768186
α=8.0°,0.6011725906096659,0.6489302833490626,0.6970550881517725,0.7454518870679512,0.7940418254329875,0.8425907262711435,0.8901238571541756,0.937368991457864,0.9841071539665927,1.0302206975195245,1.0756902744966423,1.1203663751038342,1.164055836643883,1.206621467652007,1.24791198423986,1.287698175290367,1.3256772517265274,1.3607043042901172,1.390429147595549,1.4199043082872185,1.4490388716075562,1.4778667630794102,1.5060462815085072,1.5335595792541372,1.5602892340117285,1.5865554564527706
α=9.0°,0.7065129707655406,0.753470123071821,0.8007654820830044,0.8482678480500349,0.8958880839953482,0.9433715886244692,0.9896946298411945,1.0355755418761239,1.0808107388562085,1.1253917833140508,1.1691641077055903,1.2119045884366262,1.253517281911296,1.2938158420458665,1.3325050196902921,1.3687241968491046,1.3996052599434516,1.4299060566487838,1.4599294023606046,1.4895999177747996,1.518684189036595,1.5469673848343934,1.5746517474903599,1.6016296243966326,1.627567539344403,1.6533256550681918
α=10.0°,0.8077604906712977,0.8536703146771583,0.8997943866328992,0.9460589005832313,0.9924717909576943,1.0386010644190407,1.0832304105512185,1.1273272781528694,1.1706457577393579,1.2129880126043986,1.254302101329128,1.2944122993811142,1.3330044977580504,1.367854300331343,1.3991903390703229,1.4304768039986364,1.4615398835822075,1.491963509517014,1.5218882348831313,1.5509064967464663,1.5793706572146187,1.6067841301813899,1.633998881298588,1.6598397238631346,1.685087660521359,1.7099680818550926
α=11.0°,0.9020156878033477,0.9465047609617872,0.9911141733535497,1.0357474592821316,1.080392546271697,1.1245288970914418,1.1668456510269725,1.2083339253073748,1.2484922143912993,1.2873784650113769,1.3224304053279423,1.3550618836080792,1.3875739500832347,1.419815657625963,1.4518275754766823,1.483108616933825,1.513903332592341,1.5435657260339797,1.5727977388508334,1.600773711303348,1.6281738364269929,1.6551154783182407,1.6806375386057955,1.7055734774323237,1.729921930714312,1.752463600555766
α=12.0°,0.9816035021546861,1.023977987493085,1.066119310245568,1.1081545421837602,1.1501664404827125,1.189980947665274,1.2244496249549213,1.2584868876032869,1.292341431744568,1.3262096428395582,1.3599546864858991,1.3932657776367159,1.4261433449561318,1.4583236957265269,1.4899748614261943,1.520660302650993,1.550149099571335,1.5790094356877986,1.6067871089589998,1.633478211432266,1.6595395300260112,1.6844397666912942,1.708096231278022,1.731244780907758,1.730583355811035,1.7415234781834006
α=13.0°,0.9731159177541853,1.0152986159420816,1.0564101916592994,1.0977245754156473,1.1406004293298784,1.1820446426222797,1.2202599284729698,1.258047766680391,1.2947398730632769,1.3304227927080003,1.3654496645537852,1.3996293568772948,1.4327702443158368,1.4647510450927126,1.4951732799627824,1.5240990796815264,1.5515618999724305,1.5774640496670917,1.6017531814797468,1.6239545347085782,1.6439561312754833,1.6621387371252798,1.678109559829891,1.6922882480396018,1.7114358019253184,1.7264796400543596
α=14.0°,0.9081021630600289,0.9456690052795272,0.9846724651440757,1.020073313976219,1.0609271766856598,1.096510932391851,1.1304223490503167,1.161761520691221,1.1917182182520099,1.222269057166663,1.2484396586420503,1.2760385515305537,1.3036712582089578,1.3250266068299081,1.3491169432769206,1.3663861010344616,1.3846140526495903,1.4002666460558715,1.4126251178421352,1.4286093789874343,1.4355440304409024,1.4494568453139534,1.4568469588366275,1.4681846150893938,1.5898102085073562,1.658144924280858
α=15.0°,0.850502085608871,0.8828426880711583,0.9162395841663481,0.9487507261778693,0.9805278281792253,1.0125874844209066,1.0405320205282338,1.0698950250508297,1.0948969512483897,1.1209084168937375,1.1481930524243222,1.169873816635969,1.1950739595085698,1.2201182125841343,1.2395234713844263,1.2612249418902806,1.2832285291928984,1.2990088116327585,1.318430511404224,1.3380275285839358,1.3530275711832198,1.369624774553684,1.3875083064490323,1.4049510103885154,1.4973806094479358,1.5777627668643968
α=16.0°,0.8286287351195929,0.8593772290747906,0.8906404944793135,0.922126655624365,0.951853702488726,0.9812597041052594,1.0090009764374583,1.0374586943813848,1.060796766295031,1.0866656800889982,1.112690230605579,1.134817608345082,1.1596899632695252,1.1844606989333228,1.2047253252668568,1.226165264518433,1.2486155667633498,1.270115407090757,1.2866270740845864,1.3069009159868323,1.3273824507241963,1.3469857709900201,1.3621809521709143,1.3799881093069613,1.4386843593774485,1.5082235631209227
α=17.0°,0.8204288135229227,0.8540370397469126,0.8826851348141597,0.9110433787629737,0.9442300462092048,0.9722288827559864,0.999732939330414,1.0234320156371297,1.0502392933033466,1.0748589711689984,1.0978703695228298,1.1242498867089692,1.1497430686465353,1.1701016558760258,1.1936236066175274,1.2173184099259469,1.2400705384065327,1.2583799702888439,1.2796993303425368,1.3012525404334536,1.3219137582636507,1.341807381853391,1.35807170056812,1.3769098271811147,1.4077970932792816,1.458010328200102
α=18.0°,0.8246332267665226,0.85647273139015,0.8861818941999493,0.9136009037540395,0.9442309275838698,0.9746341137882119,0.9993120842954,1.0251064721249568,1.0514916358863184,1.0751544684440848,1.0997975415081576,1.1260768811322148,1.1513949194232809,1.172699183158256,1.196134354041598,1.2202962111602769,1.2437684752009748,1.264427301335013,1.2720633158387749,1.2866579281361141,1.3042858431998825,1.3230466125266367,1.3536073413969056,1.3797037110959598,1.3937504021876208,1.4258803651938614
α=19.0°,0.8347498964489518,0.8681193446003301,0.8957256212277103,0.9225886759814845,0.9555222860518672,0.9836855762164515,1.0106760142756417,1.0336954783814438,1.059993527420057,1.0864908500316366,1.1091262907082065,1.1347525927888098,1.1606937439274594,1.1857630855929482,1.2063849743697712,1.2297193517478635,1.2534740094696324,1.2763578083169846,1.2742105620778799,1.280434245106997,1.2923600441534397,1.3077033283400383,1.351662990986657,1.393678303223027,1.393714352705324,1.4097973589495927
α=20.0°,0.8503537602544441,0.8820917190372042,0.909264703050831,0.9370266088430048,0.9693045088963438,0.9967673648854025,1.0243439215099943,1.0485453318777616,1.073062700163316,1.0998135307432495,1.1260972015952124,1.148452211624857,1.1545729777761582,1.170168031684553,1.1882765030271623,1.2089979273875129,1.2312359684285727,1.2537968883727788,1.2640037252253293,1.2722189851661632,1.2822895146598015,1.29499642149992,1.3509055705594892,1.40605729919189,1.399885825948607,1.4048415924490998
